ACC_RANDOM,SATXN_ENTRY_DATE,SATXN_BR_CODE,SATXN_BUSI_DATE,SATXN_TXN_TIME,SATXN_MEMO_CODE,SATXN_TXN_MEMO,SATXN_DB_CR_STAT,SATXN_TXN_AMT,SATXN_SAM_BAL,SATXN_TXN_STAT,SATXN_PB_STATUS,ID_RANDOM,SATXN_BUSI_CODE,SATXN_CASH_AMT,SATXN_BANK_NO
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,160604,1222,____  ,1,"7,284.00","6,801,859.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,172456,239,____  ,1,"6,700.00","6,686,559.00",0,0,"1,304,957",NB01,0,816
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,160604,1222,____  ,1,"38,692.00","6,763,167.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,160604,1222,____  ,1,"69,908.00","6,693,259.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,10622,89,___    ,2,"104,350.00","5,040,292.00",0,0,"1,304,957",SA01,0,   
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,120451,1,____  ,2,"157,082.00","5,505,859.00",0,0,"1,304,957",SA01,"157,082.00",   
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,61232,1417,____  ,2,"6,485.00","5,046,777.00",0,0,"1,304,957",AT01,0,822
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,142503,1417,____  ,2,"10,999.00","5,516,858.00",0,0,"1,304,957",AT01,0,812
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,150246,239,____  ,1,"17,484.00","5,499,374.00",0,0,"1,304,957",NB01,0,12
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,104310,1417,____  ,2,"302,000.00","5,348,777.00",0,0,"1,304,957",AT01,0,822
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,160406,1222,____  ,1,"5,743.00","5,493,631.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,160406,1222,____  ,1,"12,513.00","5,481,118.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,160406,1222,____  ,1,"23,215.00","5,457,903.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/18 0:00,37,2023/5/18 0:00,160406,1222,____  ,1,"95,456.00","5,362,447.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/17 0:00,37,2023/5/16 0:00,213221,239,____  ,1,"41,715.00","4,666,773.00",0,0,"1,304,957",NB01,0,9
"1,584,352",2023/5/17 0:00,37,2023/5/16 0:00,213607,177,____  ,2,"52,350.00","4,719,123.00",0,0,"1,304,957",    ,0,50
"1,584,352",2023/5/17 0:00,37,2023/5/17 0:00,4517,89,___    ,2,"116,800.00","4,835,923.00",0,0,"1,304,957",SA01,0,   
"1,584,352",2023/5/17 0:00,37,2023/5/17 0:00,122651,1417,____  ,2,"1,800.00","4,837,723.00",0,0,"1,304,957",AT01,0,13
