ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
2121982,1,M,36,060000,BB,05,832  ,832  ,3,0,2011-08-01 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615I0
2121982,1,M,36,060000,BB,05,832  ,832  ,3,0,2011-08-01 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615I0
2121982,1,M,36,060000,BB,05,832  ,832  ,3,0,2011-08-01 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615I0
22,1,M,50,060000,DD,05,408  ,408  ,3,1,2014-02-13 00:00:00.0000000,2018-03-21 00:00:00.0000000,0,0,0615G0
1523695,1,M,31,060000,DD,05,702  ,702  ,3,0,2016-03-07 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,0,0615I0
1523695,1,M,31,060000,DD,05,702  ,702  ,3,0,2016-03-07 00:00:00.0000000,2023-05-04 00:00:00.0000000,0,0,0615I0
6241,1,F,48,0615I0,DD,05,220  ,220  ,0,0,2009-11-21 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,0615I0
2686,1,M,32,060000,DD,05,403  ,407  ,3,0,2018-10-30 00:00:00.0000000,2022-08-24 00:00:00.0000000,1,0,061100
8310,1,F,33,060000,DD,05,414  ,414  ,3,0,2022-09-22 00:00:00.0000000,2022-09-24 00:00:00.0000000,0,0,0615C0
6477,1,F,44,060000,CC,05,407  ,407  ,3,0,2009-05-21 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615G0
6477,1,F,44,060000,CC,05,407  ,407  ,3,0,2009-05-21 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615G0
6477,1,F,44,060000,CC,05,407  ,407  ,3,0,2009-05-21 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615G0
1118,1,M,44,061500,DD,05,802  ,802  ,0,1,2011-02-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061500
